id,title,url,image,sale_price,original_price,brand,sizes,detail_images,description
-126136507124168775,Giày Adidas Chính Hãng - ULTRA BOOST 22 COLD.RDY 2.0 - Màu Xanh Đen | JapanSport GX6692,https://giaynhatchinhhang.vn/adidas-ultra-boost-22-cold-rdy-2-0-gx6692,https://bizweb.dktcdn.net/thumb/medium/100/347/092/products/image-1680688660733-d090e449b2d24eb8a1b80a5e8f85213b.png?v=1765278850830,2.180.000₫,5.000.000₫,Adidas,"['40.5', '41']",https://bizweb.dktcdn.net/100/347/092/products/image-1680688660733-d090e449b2d24eb8a1b80a5e8f85213b.png?v=1765278850830;https://bizweb.dktcdn.net/100/347/092/products/gx6692-png-52ff1ff00282445d80f3a5bca7d8a01b-11zon.jpg?v=1765278850830;https://bizweb.dktcdn.net/100/347/092/products/image1680688660715-fe64db1be95e4b25b4df42508f7d6438.png?v=1765278850830;https://bizweb.dktcdn.net/100/347/092/products/image-1680688660726-e12a0054788444618ad0a2fc31855b1c.png?v=1765278850830;https://bizweb.dktcdn.net/100/347/092/products/image-1680688660753-44cbd0a3f1db458facdc4186d00f9335.png?v=1765266239833,"ULTRA BOOST 22 COLD.RDY 2.0 | JapanSport GX6692;Được làm bằng một loạt các vật liệu tái chế, phần trên này có ít nhất 50% nội dung tái chế. Sản phẩm này chỉ là một trong những giải pháp của chúng tôi để giúp chấm dứt rác thải nhựa.Hàng trăm viên nang BOOST được kết hợp với nhau và được thiết kế để trả lại năng lượng đáng kinh ngạc.Đế ngoài cho lực kéo hoàn hảo trên mọi bề mặt trong điều kiện ẩm ướt và lạnh giá.Khi adidas Ultraboost ra mắt vào năm 2015, nó đã thiết lập tiêu chuẩn cho sự thoải mái và hiệu suất của một đôi giày chạy bộ. Mỗi bản phát hành mới đều nâng tầm và điều này cũng không ngoại lệ. Đôi giày chạy bộ này được chế tạo để chạy trong thời tiết lạnh, có tính năng COLD.RDY để giữ ấm cho bàn chân. Đế giữa BOOST hoàn trả năng lượng có khả năng phản chiếu, vì vậy nó tỏa sáng từ hoàng hôn đến bình minh. Đế ngoài bằng cao su Continental ™ Wintergrip ™ đảm bảo độ bám chắc chắn trên những con đường trơn trượt.;Thông tin chi tiết;Đóng ren;adidas PRIMEKNIT dệt trên;COLD.RDY;Hệ thống đẩy năng lượng tuyến tính;Đế giữa phản quang BOOST;3 sọc phản quang;Độ rơi của đế giữa: 10 mm (gót chân: 25 mm / mũi chân trước: 15 mm);Đế ngoài Stretchweb bằng Cao su Continental ™ WinterGrip ™;Upper chứa tối thiểu 50% nội dung tái chế;Màu sản phẩm: Xanh dương Rush / Trắng mây / Đen lõi;Mã sản phẩm: GX6692"
-1704254605481341697,Giày Adidas Chính Hãng - Black Tech Response 3.0 Golf - Màu Đen | JapanSport GV6890,https://giaynhatchinhhang.vn/giay-adidas-black-tech-response-3-0-gv6890,https://bizweb.dktcdn.net/thumb/medium/100/347/092/products/tech-response-3-0-golf-shoes-black-gv6890-01-standard.jpg?v=1764983198000,1.150.000₫,2.600.000₫,Adidas,"['41', '42']",https://bizweb.dktcdn.net/100/347/092/products/tech-response-3-0-golf-shoes-black-gv6890-01-standard.jpg?v=1764983198000;https://bizweb.dktcdn.net/100/347/092/products/tech-response-3-0-golf-shoes-black-gv6890-02-standard-hover.jpg?v=1764983199223;https://bizweb.dktcdn.net/100/347/092/products/tech-response-3-0-golf-shoes-black-gv6890-03-standard.jpg?v=1764983200623;https://bizweb.dktcdn.net/100/347/092/products/tech-response-3-0-golf-shoes-black-gv6890-04-standard.jpg?v=1764983201997;https://bizweb.dktcdn.net/100/347/092/products/tech-response-3-0-golf-shoes-black-gv6890-05-standard.jpg?v=1764983203113;https://bizweb.dktcdn.net/100/347/092/products/tech-response-3-0-golf-shoes-black-gv6890-06-standard.jpg?v=1764983204187;https://bizweb.dktcdn.net/100/347/092/products/tech-response-3-0-golf-shoes-black-gv6890-41-detail.jpg?v=1764983205640;https://bizweb.dktcdn.net/100/347/092/products/tech-response-3-0-golf-shoes-black-gv6890-42-detail.jpg?v=1764983207007,"GIÀY GOLF HIỆU SUẤT THOẢI MÁI, ĐƯỢC LÀM TỪ VẬT LIỆU TÁI CHẾ;Chọn gậy, đọc green và để cú swing lên tiếng khi bạn lướt trên fairway. Giày golf adidas Tech Response 3.0 kết hợp sự thoải mái khi bước vào với cảm giác vững chắc và sự hỗ trợ cần thiết để bạn tiến xa hơn.;Từ thiết kế sáu đinh tán chắc chắn đến sự thoải mái không bị phân tâm của đệm Bounce, Tech Response mang đến hiệu suất vượt trội. Kiểu dáng thể thao cổ điển thể hiện di sản thể thao của adidas và kết hợp hoàn hảo với bộ đồng phục golf yêu thích của bạn để tự tin chơi trên mọi sân. Buộc dây giày, tắt tiếng ồn và leo lên bảng xếp hạng.;Đệm Bounce Đệm Bounce nhẹ mang lại sự thoải mái và linh hoạt vượt trội. Được làm từ một loạt vật liệu tái chế, phần thân giày này có ít nhất 50% thành phần tái chế. Sản phẩm này chỉ là một trong những giải pháp của chúng tôi nhằm góp phần chấm dứt rác thải nhựa.;Thông tin chi tiết;Vừa vặn;Khóa ren;Mặt trên bằng vải và tổng hợp;Đệm đàn hồi chậm quanh cổ giày và lưỡi gà;Lớp lót bằng vải;Đế giữa Bounce;Đế ngoài Traxion;Màu sản phẩm: Xám / Trắng;Mã sản phẩm: GV6889"
-3337531810301719290,Giày Adidas Nam Chính Hãng - Galaxy 7 Running - Màu Đen | JapanSport JQ2625,https://giaynhatchinhhang.vn/adidas-galaxy-7-running-jq2625,https://bizweb.dktcdn.net/thumb/medium/100/347/092/products/giay-chay-bo-galaxy-7-djen-jq2625-hm1-11zon.jpg?v=1764762764057,1.150.000₫,1.800.000₫,Adidas,"['41', '42', '42.5', '43', '44']",https://bizweb.dktcdn.net/100/347/092/products/giay-chay-bo-galaxy-7-djen-jq2625-hm1-11zon.jpg?v=1764762764057;https://bizweb.dktcdn.net/100/347/092/products/giay-chay-bo-galaxy-7-djen-jq2625-hm4-11zon.jpg?v=1764762768807;https://bizweb.dktcdn.net/100/347/092/products/giay-chay-bo-galaxy-7-djen-jq2625-hm7-11zon.jpg?v=1764762770507;https://bizweb.dktcdn.net/100/347/092/products/giay-chay-bo-galaxy-7-djen-jq2625-hm3-hover-11zon.jpg?v=1764762775397;https://bizweb.dktcdn.net/100/347/092/products/giay-chay-bo-galaxy-7-djen-jq2625-hm11-11zon.jpg?v=1764762775397;https://bizweb.dktcdn.net/100/347/092/products/giay-chay-bo-galaxy-7-djen-jq2625-hm10-11zon.jpg?v=1764762775397;https://bizweb.dktcdn.net/100/347/092/products/giay-chay-bo-galaxy-7-djen-jq2625-hm9-11zon.jpg?v=1764762775397;https://bizweb.dktcdn.net/100/347/092/products/giay-chay-bo-galaxy-7-djen-jq2625-hm8-11zon.jpg?v=1764762775397;https://bizweb.dktcdn.net/100/347/092/products/giay-chay-bo-galaxy-7-djen-jq2625-hm5-11zon.jpg?v=1764762775397;https://bizweb.dktcdn.net/100/347/092/products/giay-chay-bo-galaxy-7-djen-jq2625-hm6-11zon.jpg?v=1764762775397,"Galaxy 7 Running | JapanSportJQ2625;Mỗi lần chạy là một hành trình khám phá. Hãy xỏ chân vào đôi giày chạy bộ adidas này và khám phá tiềm năng của bạn. Đế giữa Cloudfoam nâng đỡ sải chân, giúp bạn luôn thoải mái khi luyện tập sức bền. Thân giày bằng vải dệt bền bỉ mang lại cảm giác hỗ trợ từ những vòng chạy đầu tiên đến 5km đầu tiên.;Thông tin chi tiết;Cỡ giày vừa vặn;Khóa dây;Thân giày bằng vải;Lớp lót bằng vải;Đế giữa Cloudfoam;Đế ngoài TPU;Nhập khẩu;Màu sản phẩm: Đen lõi / Carbon / Lucid Lemon;Mã sản phẩm: JQ2625"
7392133802491443664,Giày Adidas Nam Chính Hãng - Duramo SL 2 - Màu Xanh | JapanSport IH8221,https://giaynhatchinhhang.vn/adidas-duramo-sl-2-ih8221,https://bizweb.dktcdn.net/thumb/medium/100/347/092/products/giay-chay-bo-duramo-sl-2-mau-xanh-da-troi-ih8221-hm1-11zon.jpg?v=1764763048113,1.150.000₫,,Adidas,"['39', '40', '40.5', '41']",https://bizweb.dktcdn.net/100/347/092/products/giay-chay-bo-duramo-sl-2-mau-xanh-da-troi-ih8221-hm1-11zon.jpg?v=1764763048113;https://bizweb.dktcdn.net/100/347/092/products/giay-chay-bo-duramo-sl-2-mau-xanh-da-troi-ih8221-hm11-11zon.jpg?v=1764763048807;https://bizweb.dktcdn.net/100/347/092/products/giay-chay-bo-duramo-sl-2-mau-xanh-da-troi-ih8221-hm10-11zon.jpg?v=1764763048807;https://bizweb.dktcdn.net/100/347/092/products/giay-chay-bo-duramo-sl-2-mau-xanh-da-troi-ih8221-hm9-11zon.jpg?v=1764763048113;https://bizweb.dktcdn.net/100/347/092/products/giay-chay-bo-duramo-sl-2-mau-xanh-da-troi-ih8221-hm7-11zon.jpg?v=1764763048113;https://bizweb.dktcdn.net/100/347/092/products/giay-chay-bo-duramo-sl-2-mau-xanh-da-troi-ih8221-hm8-11zon.jpg?v=1764763048113;https://bizweb.dktcdn.net/100/347/092/products/giay-chay-bo-duramo-sl-2-mau-xanh-da-troi-ih8221-hm5-11zon.jpg?v=1764763048113;https://bizweb.dktcdn.net/100/347/092/products/giay-chay-bo-duramo-sl-2-mau-xanh-da-troi-ih8221-hm6-11zon.jpg?v=1764763048113;https://bizweb.dktcdn.net/100/347/092/products/giay-chay-bo-duramo-sl-2-mau-xanh-da-troi-ih8221-hm3-hover-11zon.jpg?v=1764763048113;https://bizweb.dktcdn.net/100/347/092/products/giay-chay-bo-duramo-sl-2-mau-xanh-da-troi-ih8221-hm4-11zon.jpg?v=1764763048113,"Duramo SL 2 | JapanSport IH8221;Bạn đã đăng ký tham gia giải chạy đầu tiên trong đời. Giờ là lúc tập luyện. Khi bạn rèn luyện sự đều đặn, tốc độ và sức bền, đôi giày chạy bộ adidas này sẽ hỗ trợ bạn — qua từng buổi chạy. Giày có thiết kế nhẹ nhàng và ổn định nhờ thân giày bằng vải lưới thoáng mát và đế giữa LIGHTMOTION toàn phần thích ứng theo sải bước của bạn. Đế ngoài Adiwear bền chắc bám tốt trên vỉa hè cũng như đường chạy điền kinh.;Thông tin chi tiết;Dáng regular fit;Có dây giày;Thân giày bằng chất liệu tổng hợp và vải lưới dệt;Lớp lót bằng chất liệu tổng hợp và vải dệt;Lớp đệm LIGHTMOTION;Đế ngoài Adiwear;Màu sản phẩm: Xanh đậm / Bạc ánh kim / Bạc Halo;Mã sản phẩm: IH8221"
-2384818595692765899,Giày Adidas Nam Chính Hãng - Galaxy 7 Running - Màu Xanh | JapanSport JR4944,https://giaynhatchinhhang.vn/adidas-galaxy-7-running-jr4944,https://bizweb.dktcdn.net/thumb/medium/100/347/092/products/galaxy-7-running-shoes-blue-jr4944-hm1-11zon.jpg?v=1764763184590,1.150.000₫,,Adidas,"['39', '40.5', '41', '42', '42.5', '43', '44']",https://bizweb.dktcdn.net/100/347/092/products/galaxy-7-running-shoes-blue-jr4944-hm1-11zon.jpg?v=1764763184590;https://bizweb.dktcdn.net/100/347/092/products/galaxy-7-running-shoes-blue-jr4944-hm4-11zon.jpg?v=1764763190273;https://bizweb.dktcdn.net/100/347/092/products/galaxy-7-running-shoes-blue-jr4944-hm11-11zon.jpg?v=1764763190273;https://bizweb.dktcdn.net/100/347/092/products/galaxy-7-running-shoes-blue-jr4944-hm10-11zon.jpg?v=1764763190273;https://bizweb.dktcdn.net/100/347/092/products/galaxy-7-running-shoes-blue-jr4944-hm8-11zon.jpg?v=1764763190273;https://bizweb.dktcdn.net/100/347/092/products/galaxy-7-running-shoes-blue-jr4944-hm9-11zon.jpg?v=1764763190273;https://bizweb.dktcdn.net/100/347/092/products/galaxy-7-running-shoes-blue-jr4944-hm5-11zon.jpg?v=1764763190273;https://bizweb.dktcdn.net/100/347/092/products/galaxy-7-running-shoes-blue-jr4944-hm6-11zon.jpg?v=1764763190273;https://bizweb.dktcdn.net/100/347/092/products/galaxy-7-running-shoes-blue-jr4944-hm7-11zon.jpg?v=1764763190273;https://bizweb.dktcdn.net/100/347/092/products/galaxy-7-running-shoes-blue-jr4944-hm3-hover-11zon.jpg?v=1764763190273,"Galaxy 7 Running | JapanSport JR4944;Mỗi lần chạy là một hành trình khám phá. Hãy xỏ chân vào đôi giày chạy bộ adidas này và khám phá tiềm năng của bạn. Đế giữa Cloudfoam nâng đỡ sải chân, giúp bạn luôn thoải mái khi luyện tập sức bền. Thân giày bằng vải dệt bền bỉ mang lại cảm giác hỗ trợ từ những vòng chạy đầu tiên đến 5km đầu tiên.;Thông tin chi tiết;Cỡ giày vừa vặn;Khóa dây;Thân giày bằng vải;Lớp lót bằng vải;Đế giữa Cloudfoam;Đế ngoài TPU;Nhập khẩu;Màu sản phẩm: Xanh đậm / Bạc ánh kim / Đỏ sáng;Mã sản phẩm: JR4944"
-4389808583631501602,Giày Adidas Nam Chính Hãng - Duramo SL 2.0 - Màu Đen | JapanSport IH8218,https://giaynhatchinhhang.vn/giay-adidas-duramo-sl-2-0-ih8218,https://bizweb.dktcdn.net/thumb/medium/100/347/092/products/giay-adidas-duramo-sl-2-0-if9400-1-30d708db-e2e9-423d-817e-8738c83ccb35.jpg?v=1764757411907,1.150.000₫,18.000.000₫,Adidas Japan,"['39', '40', '40.5', '41', '42', '42.5', '43', '44']",https://bizweb.dktcdn.net/100/347/092/products/giay-adidas-duramo-sl-2-0-if9400-1-30d708db-e2e9-423d-817e-8738c83ccb35.jpg?v=1764757411907;https://bizweb.dktcdn.net/100/347/092/products/giay-adidas-duramo-sl-2-0-if9400-2-bee4e64f-d928-4f8f-8e65-556e4fbb36ba.jpg?v=1764757411907;https://bizweb.dktcdn.net/100/347/092/products/giay-adidas-duramo-sl-2-0-if9400-3-aa2ffbf7-fa3a-48b0-91a3-28e896709bbb.jpg?v=1764757411907;https://bizweb.dktcdn.net/100/347/092/products/giay-adidas-duramo-sl-2-0-if9400-4-5643872a-7240-419b-8967-0cb32a8b7fac.jpg?v=1764757411907;https://bizweb.dktcdn.net/100/347/092/products/giay-adidas-duramo-sl-2-0-if9400-5-48b0c9b3-5b1e-436d-b74c-a9647440b821.jpg?v=1764757411907;https://bizweb.dktcdn.net/100/347/092/products/giay-adidas-duramo-sl-2-0-if9400-6-5a4bab8b-106e-4022-b850-742246427e99.jpg?v=1764757411907;https://bizweb.dktcdn.net/100/347/092/products/giay-adidas-duramo-sl-2-0-if9400-7-f1d0d363-678c-4cd3-9eb8-abe6d811b1c6.jpg?v=1764757411907;https://bizweb.dktcdn.net/100/347/092/products/giay-adidas-duramo-sl-2-0-if9400-8-1fc7490a-18d5-475d-850d-12d02d3e22cc.jpg?v=1764757411907;https://bizweb.dktcdn.net/100/347/092/products/giay-adidas-duramo-sl-2-0-if9400-9-09196d37-b2e9-4355-993b-efcf04de821d.jpg?v=1764757411907,"Đôi giày chạy bộ siêu nhẹ dành cho tập luyện cự ly ngắn tới trung bình.;Bạn đã đăng ký tham gia giải chạy đầu tiên trong đời. Giờ là lúc tập luyện. Khi bạn rèn luyện sự đều đặn, tốc độ và sức bền, đôi giày chạy bộ adidas này sẽ hỗ trợ bạn — qua từng buổi chạy. Giày có thiết kế nhẹ nhàng và ổn định nhờ thân giày bằng vải lưới thoáng mát và đế giữa LIGHTMOTION toàn phần thích ứng theo sải bước của bạn. Đế ngoài Adiwear bền chắc bám tốt trên vỉa hè cũng như đường chạy điền kinh.;Dáng regular fit;Có dây giày;Thân giày bằng chất liệu tổng hợp và vải lưới dệt;Lớp lót bằng chất liệu tổng hợp và vải dệt;Lớp đệm LIGHTMOTION;Đế ngoài Adiwear;Trọng lượng: 291 gram (size UK 8.5);Chênh lệch độ cao đế giữa: 9 mm (gót giày 33 mm / mũi giày 24 mm);Màu sản phẩm: Đen lõi / Trắng mây / Xám mức 5;Mã sản phẩm: IH8218"
7919162852372460109,Giày Adidas Nữ Chính Hãng - Swift Run 1.0 Shoes - Màu Hồng Đất | JapanSport ID5942,https://giaynhatchinhhang.vn/adidas-swift-run-1-0-shoes-id5942,https://bizweb.dktcdn.net/thumb/medium/100/347/092/products/swift-run-1-0-shoes-pink-id5942-01-standard-11zon.jpg?v=1764786688343,Liên hệ,2.500.000₫,Adidas,"['37', '38', '38.5', '39']",https://bizweb.dktcdn.net/100/347/092/products/swift-run-1-0-shoes-pink-id5942-01-standard-11zon.jpg?v=1764786688343;https://bizweb.dktcdn.net/100/347/092/products/swift-run-1-0-shoes-pink-id5942-02-standard-hover-hover-hover-hover-hover-11zon.jpg?v=1764786689307;https://bizweb.dktcdn.net/100/347/092/products/swift-run-1-0-shoes-pink-id5942-03-standard-11zon.jpg?v=1764786690030;https://bizweb.dktcdn.net/100/347/092/products/swift-run-1-0-shoes-pink-id5942-05-standard-11zon.jpg?v=1764786693110;https://bizweb.dktcdn.net/100/347/092/products/swift-run-1-0-shoes-pink-id5942-04-standard-11zon.jpg?v=1764786693110;https://bizweb.dktcdn.net/100/347/092/products/swift-run-1-0-shoes-pink-id5942-06-standard-11zon.jpg?v=1764786693110;https://bizweb.dktcdn.net/100/347/092/products/swift-run-1-0-shoes-pink-id5942-42-detail-11zon.jpg?v=1764763340057;https://bizweb.dktcdn.net/100/347/092/products/swift-run-1-0-shoes-pink-id5942-41-detail-11zon.jpg?v=1764763338723,"Swift Run 1.0 Shoes | JapanSport ID5942;Hãy tự tin tỏa sáng cùng đôi giày adidas này. Sự kết hợp hoàn hảo giữa vẻ ngoài năng động và sự thoải mái suốt cả ngày. Đế giữa EVA mang đến cảm giác như đang bước trên mây cho mỗi bước chân. Kiểu dáng thanh lịch, dễ dàng kết hợp với mọi trang phục.;Thông tin chi tiết;Size vừa vặn;Khóa ren;Mặt trên dệt kim;Đế giữa EVA;Lớp lót vải;Đế ngoài cao su;Hàng nhập khẩu;Màu sản phẩm: Hồng đất Putty / Tím Preloved;Mã sản phẩm: ID5942"
8869656011974960321,Giày Adidas Chính Hãng - Giày Chạy Bộ Galaxy 7 - Màu ghi | JapanSport ID8754,https://giaynhatchinhhang.vn/giay-adidas-galaxy-7-id8754,https://bizweb.dktcdn.net/thumb/medium/100/347/092/products/giay-chay-bo-galaxy-7-xam-id8754-hm1-jpeg.jpg?v=1764757370773,1.150.000₫,2.000.000₫,Adidas,"['39', '40', '40.5', '41', '42', '42.5', '43', '44']",https://bizweb.dktcdn.net/100/347/092/products/giay-chay-bo-galaxy-7-xam-id8754-hm1-jpeg.jpg?v=1764757370773;https://bizweb.dktcdn.net/100/347/092/products/galaxy-7-running-shoes-grey-id8754-hm3-hover-jpeg.jpg?v=1764757370773;https://bizweb.dktcdn.net/100/347/092/products/galaxy-7-running-shoes-grey-id8754-hm7-jpeg.jpg?v=1764757350680,Đôi giày chạy bộ nâng đỡ cho cảm giác êm ái.;Mỗi buổi chạy đều là một hành trình khám phá. Hãy mang đôi giày chạy bộ adidas này vào và khai phá tiềm năng của bạn. Đế giữa Cloudfoam nâng niu từng sải bước giúp bạn luôn thoải mái trong quá trình rèn luyện sức bền. Thân giày bằng vải dệt bền bỉ cho cảm giác nâng đỡ từ buổi chạy đầu tiên cho tới 5K đầu tiên.;THÔNG TIN SẢN PHẨM;Dáng regular fit;Có dây giày;Thân giày bằng vải dệt;Lớp lót bằng vải dệt;Đế giữa Cloudfoam;Đế ngoài bằng chất liệu TPU;Trọng lượng: 319 g (size UK 8.5);Chênh lệch độ cao đế giữa: 6 mm (gót giày 35 mm / mũi giày 29 mm);Có chứa tối thiểu 20% thành phần tái chế;Màu sản phẩm: Bạc Halo / Carbon / Đen lõi;Mã sản phẩm: ID8754
-6909543819694349127,Giày Adidas Chính Hãng - Grand Court 2.0 - Màu Trắng | JapanSport GW9213,https://giaynhatchinhhang.vn/adidas-grand-court-2-0-gw9213,https://bizweb.dktcdn.net/thumb/medium/100/347/092/products/giay-grand-court-2-0-trang-gw9213-hm1-11zon.jpg?v=1764663805040,1.050.000₫,2.000.000₫,Adidas Japan,"['43', '44']",https://bizweb.dktcdn.net/100/347/092/products/giay-grand-court-2-0-trang-gw9213-hm1-11zon.jpg?v=1764663805040;https://bizweb.dktcdn.net/100/347/092/products/giay-grand-court-2-0-trang-gw9213-hm3-hover-11zon.jpg?v=1764663806193;https://bizweb.dktcdn.net/100/347/092/products/giay-grand-court-2-0-trang-gw9213-hm5-11zon.jpg?v=1764663841837;https://bizweb.dktcdn.net/100/347/092/products/giay-grand-court-2-0-trang-gw9213-hm6-11zon.jpg?v=1764663841837;https://bizweb.dktcdn.net/100/347/092/products/giay-grand-court-2-0-trang-gw9213-hm7-11zon.jpg?v=1764663841837;https://bizweb.dktcdn.net/100/347/092/products/giay-grand-court-2-0-trang-gw9213-hm4-11zon.jpg?v=1764663841837;https://bizweb.dktcdn.net/100/347/092/products/giay-grand-court-2-0-trang-gw9213-hm8-11zon.jpg?v=1764663813323;https://bizweb.dktcdn.net/100/347/092/products/giay-grand-court-2-0-trang-gw9213-hm9-11zon.jpg?v=1764663814863;https://bizweb.dktcdn.net/100/347/092/products/giay-grand-court-2-0-trang-gw9213-hm10-11zon.jpg?v=1764663816267,"Đôi giày sneaker biểu tượng, mang cả ngày vẫn thoải mái;Có xu hướng nhất thời, và có những giá trị truyền thống bền vững. Đôi giày sneaker adidas Grand Court này đã vượt xa khỏi khuôn khổ sân đấu và sàn diễn thời trang. Giờ đây, chẳng có tủ đồ nào trọn vẹn nếu thiếu chúng. Đệm Cloudfoam Comfort mang lại cảm giác êm ái, ôm chân và nâng đỡ tối đa, trong khi phom dáng cổ điển phối hợp hoàn hảo với mọi trang phục.;Thông tin chi tiết;Kiểu dáng tiêu chuẩn;Có dây giày;Thân giày được làm từ da tổng hợp;Lót giày Cloudfoam Comfort;Lớp lót bằng vải dệt;Đế ngoài bằng cao su;Thân giày có chứa tối thiểu 50% thành phần tái chế;Màu sản phẩm: Trắng mây / Vàng ánh kim;Mã sản phẩm: GW9213"
-5434340078185395153,Giày Adidas Nam Nữ Chính Hãng - Avantage Unisex - MàuTrắng | JapanSport GZ5300,https://giaynhatchinhhang.vn/adidas-advantage-gz5300,https://bizweb.dktcdn.net/thumb/medium/100/347/092/products/giay-advantage-trang-gz5300-01-76ad4ede-d781-404b-b456-722415216399.jpg?v=1764344511877,1.050.000₫,2.000.000₫,Adidas Japan,"['36', '36.5', '37', '38.5', '39', '40', '40.5', '41', '42', '42.5', '43', '44']",https://bizweb.dktcdn.net/100/347/092/products/giay-advantage-trang-gz5300-01-76ad4ede-d781-404b-b456-722415216399.jpg?v=1764344511877;https://bizweb.dktcdn.net/100/347/092/products/giay-advantage-trang-gz5300-07-2f9b5d19-99b1-407d-95b6-1cc6a6f314a3.jpg?v=1764344511877;https://bizweb.dktcdn.net/100/347/092/products/giay-advantage-trang-gz5300-02-e7200cf0-60b3-4ba0-928d-18636a7abe2d.jpg?v=1764344511877;https://bizweb.dktcdn.net/100/347/092/products/giay-advantage-trang-gz5300-03-fbc3ed19-7065-4c1d-a9c8-3613b2901b3a.jpg?v=1764344511877;https://bizweb.dktcdn.net/100/347/092/products/giay-advantage-trang-gz5300-04-5b96a5be-1a80-4fc1-8df9-03b6aab3e38a.jpg?v=1764344511877;https://bizweb.dktcdn.net/100/347/092/products/giay-advantage-trang-gz5300-06-1be7cf4f-474b-4fde-bbcd-534828b6ba73.jpg?v=1764344511877,"ADVANTAGE GZ5300;ĐÔI GIÀY CHO PHONG CÁCH CLASSIC VÀ KIỂU DÁNG HIỆN ĐẠI.;Đôi giày adidas phong cách tennis này kết hợp diện mạo kinh điển với thiết kế hiện đại thoải mái. Kiểu dáng mềm mại mà vừa khít, ôm chân tự nhiên. Tự tin sải bước với độ bám chắc chắn trên mọi bề mặt. Sản phẩm này may bằng vải công nghệ Primegreen, thuộc dòng chất liệu tái chế hiệu năng cao. Thân giày chứa 50% thành phần tái chế. Không sử dụng polyester nguyên sinh.;THÔNG SỐ;Dáng regular fit;Có dây giày;Thân giày bằng chất liệu tổng hợp;Lớp lót bằng vải dệt;Cảm giác mềm mại;Lót giày Cloudfoam Comfort;Đế ngoài bằng cao su;Primegreen;Màu sản phẩm: Trắng mây / Xanh lá;Mã sản phẩm: GZ5300"
